n square,1,4,9,16,25,36,49,64,81,100,121,144,169,196,225,256,289,324,361,400,441,484,529,576,625,676,729,784,841,900,961,1024,1089,1156,1225,1296,1369,1444,1521,1600,1681,1764,1849,1936,2025,2116,2209,2304,2401,2500,2601,2704,2809,2916,3025,3136,3249,3364,3481,3600,3721,3844,3969,4096,4225,4356,4489,4624,4761,4900,5041,5184,5329,5476,5625,5776,5929,6084,6241,6400,6561,6724,6889,7056,7225,7396,7569,7744,7921,8100,8281,8464,8649,8836,9025,9216,9409,9604,9801,10000

up up,,0,,0,,1,,0,,1,,1,,1,,2,,1,,2,,2,,1,,3,,2,,2,,3,,2,,3,,3,,3,,4,,3,,4,,4,,3,,5,,4,,4,,5,,4,,5,,5,,5,,6,,5,,6,,6,,5,,7,,6,,6,,7,,6,,7,,7,,7,,8,,7,,8,,8,,7,,9,,8,,8,,9,,8,,9,,9,,9,,10,,9,,10,,10,,9,,11,,10,,10,,11,,10,,11,,11,,11,,12,,11,,12,,12,,11,,13,,12,,12,,13,,12,,13,,13,,13,,14,,13,,14,,14,,13,,15,,14,,14,,15,,14,,15,,15,,15,,16,
up,1,,1,,1,,2,,2,,3,,4,,5,,7,,8,,10,,12,,13,,16,,18,,20,,23,,25,,28,,31,,34,,38,,41,,45,,49,,52,,57,,61,,65,,70,,74,,79,,84,,89,,95,,100,,106,,112,,117,,124,,130,,136,,143,,149,,156,,163,,170,,178,,185,,193,,201,,208,,217,,225,,233,,242,,250,,259,,268,,277,,287,,296,,306,,316,,325,,336,,346,,356,,367,,377,,388,,399,,410,,422,,433,,445,,457,,468,,481,,493,,505,,518,,530,,543,,556,,569,,583,,596,,610,,624,,637,,652,,666,,680,,695,,709,,724,,739,,754,,770
common terms,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,637,,,,,,,,,,,,,,,,,,
low,0,,0,,0,,1,,1,,2,,3,,4,,6,,7,,9,,11,,13,,15,,17,,19,,22,,24,,27,,30,,33,,37,,40,,44,,48,,52,,56,,60,,64,,69,,73,,78,,83,,88,,94,,99,,105,,111,,117,,123,,129,,135,,142,,148,,155,,162,,169,,177,,184,,192,,200,,208,,216,,224,,232,,241,,249,,258,,267,,276,,286,,295,,305,,315,,325,,335,,345,,355,,366,,376,,387,,398,,409,,421,,432,,444,,456,,468,,480,,492,,504,,517,,529,,542,,555,,568,,582,,595,,609,,623,,637,,651,,665,,679,,694,,708,,723,,738,,753,,769
low low,,0,,0,,1,,0,,1,,1,,1,,2,,1,,2,,2,,2,,2,,2,,2,,3,,2,,3,,3,,3,,4,,3,,4,,4,,4,,4,,4,,4,,5,,4,,5,,5,,5,,6,,5,,6,,6,,6,,6,,6,,6,,7,,6,,7,,7,,7,,8,,7,,8,,8,,8,,8,,8,,8,,9,,8,,9,,9,,9,,10,,9,,10,,10,,10,,10,,10,,10,,11,,10,,11,,11,,11,,12,,11,,12,,12,,12,,12,,12,,12,,13,,12,,13,,13,,13,,14,,13,,14,,14,,14,,14,,14,,14,,15,,14,,15,,15,,15,,16,
