1,4,9,16,25,36,49,64,81,100,121,144,169,196,225,256,289,324,361,400,441,484,529,576,625,676,729,784,841,900,961,1024,1089,1156,1225,1296,1369,1444,1521,1600
1,1,1,2,3,4,5,7,9,,13,15,17,20,23,26,29,33,37,,45,49,53,58,63,68,73,79,85,,97,103,109,116,123,130,137,145,153,
,,,,,,,,,10,,,,,,,,,,40,,,,,,,,,,90,,,,,,,,,,160
0,0,0,1,2,3,4,6,8,,12,14,16,19,22,25,28,32,36,,44,48,52,57,62,67,72,78,84,,96,102,108,115,122,129,136,144,152,
