1,4,9,16,25,36,49,64,81,100,121,144,169,196,225,256,289,324,361,400,441,484,529,576,625,676,729,784,841,900,961,1024,1089,1156,1225,1296,1369,1444,1521,1600
1,1,2,4,,8,10,13,17,,25,29,34,40,,52,58,65,73,,89,97,106,116,,136,146,157,169,,193,205,218,232,,260,274,289,305,
,,,,5,,,,,20,,,,,45,,,,,80,,,,,125,,,,,180,,,,,245,,,,,320
0,0,1,3,,7,9,12,16,,24,28,33,39,,51,57,64,72,,88,96,105,115,,135,145,156,168,,192,204,217,231,,259,273,288,304,
