1,4,9,16,25,36,49,64,81,100,121,144,169,196,225,256,289,324,361,400
1,2,,6,9,,17,22,,34,41,,57,66,,86,97,,121,134
,,3,,,12,,,27,,,48,,,75,,,108,,
0,1,,5,8,,16,21,,33,40,,56,65,,85,96,,120,133
