n square,1,,4,,9,,16,,25,,36,,49,,64,,81,,100,,121,,144,,169,,196,,225,,256,,289,,324,,361,,400,,441,,484,,529,,576,,625,,676,,729,,784,,841,,900,,961,,1024,,1089,,1156,,1225,,1296,,1369,,1444,,1521,,1600

up up,,0,,1,,2,,1,,3,,2,,3,,4,,3,,5,,4,,5,,6,,5,,7,,6,,7,,8,,7,,9,,8,,9,,10,,9,,11,,10,,11,,12,,11,,13,,12,,13,,14,,13,,15,,14,,15,,16,,15,
up,1,,1,,2,,4,,5,,8,,10,,13,,17,,20,,25,,29,,34,,40,,45,,52,,58,,65,,73,,80,,89,,97,,106,,116,,125,,136,,146,,157,,169,,180,,193,,205,,218,,232,,245,,260,,274,,289,,305,,320
common terms,,,,,,,,,5,,,,,,,,,,20,,,,,,,,,,45,,,,,,,,,,80,,,,,,,,,,125,,,,,,,,,,180,,,,,,,,,,245,,,,,,,,,,320
low,0,,0,,1,,3,,5,,7,,9,,12,,16,,20,,24,,28,,33,,39,,45,,51,,57,,64,,72,,80,,88,,96,,105,,115,,125,,135,,145,,156,,168,,180,,192,,204,,217,,231,,245,,259,,273,,288,,304,,320
low low,,0,,1,,2,,2,,2,,2,,3,,4,,4,,4,,4,,5,,6,,6,,6,,6,,7,,8,,8,,8,,8,,9,,10,,10,,10,,10,,11,,12,,12,,12,,12,,13,,14,,14,,14,,14,,15,,16,,16,
