n square,1,,4,,9,,16,,25,,36,,49,,64,,81,,100,,121,,144,,169,,196,,225,,256,,289,,324,,361,,400,,441,,484,,529,,576,,625,,676,,729,,784,,841,,900,,961,,1024,,1089,,1156,,1225,,1296,,1369,,1444,,1521,,1600

up up,,0,,1,,1,,2,,1,,3,,2,,3,,3,,4,,3,,5,,4,,5,,5,,6,,5,,7,,6,,7,,7,,8,,7,,9,,8,,9,,9,,10,,9,,11,,10,,11,,11,,12,,11,,13,,12,,13,,13,
up,1,,1,,2,,3,,5,,6,,9,,11,,14,,17,,21,,24,,29,,33,,38,,43,,49,,54,,61,,67,,74,,81,,89,,96,,105,,113,,122,,131,,141,,150,,161,,171,,182,,193,,205,,216,,229,,241,,254,,267
common terms,,,,,,,,,,,6,,,,,,,,,,,,24,,,,,,,,,,,,54,,,,,,,,,,,,96,,,,,,,,,,,,150,,,,,,,,,,,,216,,,,,,,,
low,0,,0,,1,,2,,4,,6,,8,,10,,13,,16,,20,,24,,28,,32,,37,,42,,48,,54,,60,,66,,73,,80,,88,,96,,104,,112,,121,,130,,140,,150,,160,,170,,181,,192,,204,,216,,228,,240,,253,,266
low low,,0,,1,,1,,2,,2,,2,,2,,3,,3,,4,,4,,4,,4,,5,,5,,6,,6,,6,,6,,7,,7,,8,,8,,8,,8,,9,,9,,10,,10,,10,,10,,11,,11,,12,,12,,12,,12,,13,,13,
