n square,1,,4,,9,,16,,25,,36,,49,,64,,81,,100,,121,,144,,169,,196,,225,,256,,289,,324,,361,,400,,441,,484,,529,,576,,625,,676,,729,,784,,841,,900,,961,,1024,,1089,,1156,,1225,,1296,,1369,,1444,,1521,,1600

up up,,1,,1,,3,,3,,3,,5,,5,,5,,7,,7,,7,,9,,9,,9,,11,,11,,11,,13,,13,,13,,15,,15,,15,,17,,17,,17,,19,,19,,19,,21,,21,,21,,23,,23,,23,,25,,25,,25,,27,
up,1,,2,,3,,6,,9,,12,,17,,22,,27,,34,,41,,48,,57,,66,,75,,86,,97,,108,,121,,134,,147,,162,,177,,192,,209,,226,,243,,262,,281,,300,,321,,342,,363,,386,,409,,432,,457,,482,,507,,534
common terms,,,,,3,,,,,,12,,,,,,27,,,,,,48,,,,,,75,,,,,,108,,,,,,147,,,,,,192,,,,,,243,,,,,,300,,,,,,363,,,,,,432,,,,,,507,,
low,0,,1,,3,,5,,8,,12,,16,,21,,27,,33,,40,,48,,56,,65,,75,,85,,96,,108,,120,,133,,147,,161,,176,,192,,208,,225,,243,,261,,280,,300,,320,,341,,363,,385,,408,,432,,456,,481,,507,,533
low low,,1,,2,,2,,3,,4,,4,,5,,6,,6,,7,,8,,8,,9,,10,,10,,11,,12,,12,,13,,14,,14,,15,,16,,16,,17,,18,,18,,19,,20,,20,,21,,22,,22,,23,,24,,24,,25,,26,,26,
