n square,1,,4,,9,,16,,25,,36,,49,,64,,81,,100,,121,,144,,169,,196,,225,,256,,289,,324,,361,,400,,441,,484,,529,,576,,625,,676,,729,,784,,841,,900,,961,,1024,,1089,,1156,,1225,,1296,,1369,,1444,,1521,,1600

up up,,0,,0,,1,,0,,1,,1,,1,,2,,1,,2,,2,,1,,3,,2,,2,,3,,2,,3,,3,,3,,4,,3,,4,,4,,3,,5,,4,,4,,5,,4,,5,,5,,5,,6,,5,,6,,6,,5,,7,
up,1,,1,,1,,2,,2,,3,,4,,5,,7,,8,,10,,12,,13,,16,,18,,20,,23,,25,,28,,31,,34,,38,,41,,45,,49,,52,,57,,61,,65,,70,,74,,79,,84,,89,,95,,100,,106,,112,,117,,124
common terms,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,117,,
low,0,,0,,0,,1,,1,,2,,3,,4,,6,,7,,9,,11,,13,,15,,17,,19,,22,,24,,27,,30,,33,,37,,40,,44,,48,,52,,56,,60,,64,,69,,73,,78,,83,,88,,94,,99,,105,,111,,117,,123
low low,,0,,0,,1,,0,,1,,1,,1,,2,,1,,2,,2,,2,,2,,2,,2,,3,,2,,3,,3,,3,,4,,3,,4,,4,,4,,4,,4,,4,,5,,4,,5,,5,,5,,6,,5,,6,,6,,6,,6,
