n square,1,,4,,9,,16,,25,,36,,49,,64,,81,,100,,121,,144,,169,,196,,225,,256,,289,,324,,361,,400,,441,,484,,529,,576,,625,,676,,729,,784,,841,,900,,961,,1024,,1089,,1156,,1225,,1296,,1369,,1444,,1521,,1600

up up,,0,,2,,1,,3,,2,,4,,3,,5,,4,,6,,5,,7,,6,,8,,7,,9,,8,,10,,9,,11,,10,,12,,11,,13,,12,,14,,13,,15,,14,,16,,15,,17,,16,,18,,17,,19,,18,,20,,19,
up,1,,1,,3,,4,,7,,9,,13,,16,,21,,25,,31,,36,,43,,49,,57,,64,,73,,81,,91,,100,,111,,121,,133,,144,,157,,169,,183,,196,,211,,225,,241,,256,,273,,289,,307,,324,,343,,361,,381,,400
common terms,,,1,,,,4,,,,9,,,,16,,,,25,,,,36,,,,49,,,,64,,,,81,,,,100,,,,121,,,,144,,,,169,,,,196,,,,225,,,,256,,,,289,,,,324,,,,361,,,,400
low,0,,1,,2,,4,,6,,9,,12,,16,,20,,25,,30,,36,,42,,49,,56,,64,,72,,81,,90,,100,,110,,121,,132,,144,,156,,169,,182,,196,,210,,225,,240,,256,,272,,289,,306,,324,,342,,361,,380,,400
low low,,1,,1,,2,,2,,3,,3,,4,,4,,5,,5,,6,,6,,7,,7,,8,,8,,9,,9,,10,,10,,11,,11,,12,,12,,13,,13,,14,,14,,15,,15,,16,,16,,17,,17,,18,,18,,19,,19,,20,
